test1_id	test1_url	test2_id	test2_url	similarity
29	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/35_55.jpg	29	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/35_55.jpg	1.00000
30	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/86_99.jpg	30	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/86_99.jpg	1.00000
31	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/159_159.jpg	31	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/159_159.jpg	1.00000
32	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/125_132.jpg	32	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/125_132.jpg	1.00000
33	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/27_51.jpg	33	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/27_51.jpg	1.00000
34	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4300.JPG	34	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4300.JPG	1.00000
35	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4301.JPG	35	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4301.JPG	1.00000
36	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/97_111.jpg	36	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/97_111.jpg	1.00000
37	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/113_125.jpg	37	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/113_125.jpg	1.00000
38	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/27_50.jpg	38	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/27_50.jpg	1.00000
39	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/41_60.jpg	39	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/41_60.jpg	1.00000
40	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/51_67.jpg	40	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/51_67.jpg	1.00000
41	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/141_148.jpg	41	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/141_148.jpg	1.00000
42	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/72_90.jpg	42	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/72_90.jpg	1.00000
43	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_9.jpg	43	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_9.jpg	1.00000
44	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4302.JPG	44	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4302.JPG	1.00000
45	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/144_150.jpg	45	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/144_150.jpg	1.00000
46	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/136_144.jpg	46	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/136_144.jpg	1.00000
47	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/26_48.jpg	47	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/26_48.jpg	1.00000
48	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/64_79.jpg	48	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/64_79.jpg	1.00000
49	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_86.jpg	49	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_86.jpg	1.00000
